No,Nama Bimbel,Alamat,Rating,Longtitude,Latitude
1,Ganesha Operation Perintis Kemerdekaan 17 Sragen,"Jl. Perintis Kemerdekaan No.17, Ngrandu, Nglorog, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214",5,-7.423696,111.0240381
2,Neutron Sragen,"Telp. (0271, Jl. Sukowati No.490, Dusun Kebayanan Sragen Manggis, Sragen Wetan, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214","4,9",-7.4235887,111.0212594
3,Bimbingan Belajar FISMA,"Dusun Kebayanan Sragen Manggis, Sragen Wetan, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214",4,-7.4228553,111.0111555
4,Bimbel Brain Academy Ruangguru Sragen Sukowati,"Jl. Sukowati No.346, RT.2/RW.5, Magero, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57211",5,-7.4248028,111.0108404
5,Bimbel Rumah Belajar sragen,"Jl. Slamet Riyadi No.157, Dusun Kebayanan Krajoyok, Sragen Wetan, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214","4,8",-7.4252843,111.0002194
6,Bimbel Nusa Caraka Sragen 2,"Jl. Musi Cantel Wetan, RT.2/RW.13, Kutorejo, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57211","4,6",-7.4252843,111.0002194
7,Ganesha Operation Sukowati 179 Sragen,"Jalan Raya Sukowati No.179 Sragen Wetan, Kebayan 3, Sragen Kulon, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214",5,-7.4333039,110.9938586
8,Ganesha Operation Gemolong Sragen,"Jl. Citrosancakan, Gandurejo, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274",5,-7.4704073,110.7086936
9,Rumah Pintar RP-ALKENA Unit Puro,"G2VR+3RV, Jl. Sragen - Kedawung, Karang Malang, Puro, Kec. Karangmalang, Kabupaten Sragen, Jawa Tengah 57222","4,6",-7.4342396,111.0117939
10,Primagama Sragen,"Jalan Perintis Kemerdekaan No 2 Nglorog, Ngrandu, Sragen Wetan, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57214","4,8",-7.4192514,111.0319347
11,Nusa Caraka Sragen,"Jl. Perintis Kemerdekaan No.35, Ngrandu, Nglorog, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57215",5,-7.4238474,111.0313768
12,Bimbingan Belajar BINTANG,"Grasak Kulon No.RT 36, Kb. Agung, Gondang, Kec. Gondang, Kabupaten Sragen, Jawa Tengah 57254","4,8",-7.4080256,111.1102607
13,Bimbel Alfath,"Tempursari, Tambak Boyo, Kec. Mantingan, Kabupaten Ngawi, Jawa Timur 63261","4,8",-7.4123256,111.1125344
14,Bimbel Aqila Education Cabang Gemolong,"HRRV+CXC, Jl. Gemolong - Plupuh, Dusun 2, Tegaldowo, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 57274",5,-7.4089416,110.6232061